project,exp,year,location,plot,crop,rep,lat,lon,seedyld,strawyld,hayyld,strawRFV,straw_N,straw_C,rootyld,spring_hay_RFV,fall_hay_RFV,ave_hay_RFV,N_leached,N2O_emitted,N_fert,stand_age,ETH_pot,tillage_planting_diesel,tillage_planting_hours,seed_costs,straw_diesel,straw_hours,grain_diesel,grain_hours,hay_diesel,hay_hours,fert_diesel,fert_hours,herb_diesel,herb_hours
IREE_nrate,A,2013,Crookston,3402,iwg,4,45.58822,-95.874869,993,12640,NA,121.3467475,,,,NA,NA,NA,NA,NA,80,1,83.72643237,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3117,iwg,1,45.58822,-95.874869,936,12660,NA,127.244488,,,,NA,NA,NA,NA,NA,120,1,77.69704042,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3216,iwg,2,45.58822,-95.874869,1014,12460,NA,100.2414228,,,,NA,NA,NA,NA,NA,120,1,90.74080627,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3318,iwg,3,45.58822,-95.874869,735,10820,NA,121.3088693,,,,NA,NA,NA,NA,NA,120,1,77.07715795,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3414,iwg,4,45.58822,-95.874869,628,9140,NA,134.0168393,,,,NA,NA,NA,NA,NA,120,1,72.66975295,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3108,iwg,1,45.58822,-95.874869,822,11100,NA,126.5593431,,,,NA,NA,NA,NA,NA,160,1,78.18836258,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3210,iwg,2,45.58822,-95.874869,767,10660,NA,122.425409,,,,NA,NA,NA,NA,NA,160,1,81.47760353,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3306,iwg,3,45.58822,-95.874869,370,6960,NA,118.2168526,,,,NA,NA,NA,NA,NA,160,1,78.89964536,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3411,iwg,4,45.58822,-95.874869,594,9020,NA,122.8438476,,,,NA,NA,NA,NA,NA,160,1,78.50755091,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3105,iwg,1,45.58822,-95.874869,631,9720,NA,118.3986487,,,,NA,NA,NA,NA,NA,200,1,83.62293592,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3204,iwg,2,45.58822,-95.874869,896,8240,NA,123.1891172,,,,NA,NA,NA,NA,NA,200,1,78.87006833,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
IREE_nrate,A,2013,Crookston,3315,iwg,3,45.58822,-95.874869,503,9760,NA,124.5835821,,,,NA,NA,NA,NA,NA,200,1,75.27715425,17.5188,0.2,NA,8.1979,0.220367643,22.9092,0.1683501684,0,0,1.3476,0.02173913043,0.7861,0.02
