"","experiment","site","plot","date","co2.e.kghyr"
"140","ATAT","r100","1205","2022-10-11",10461.1719807026
"141","ATAT","r100","1205","2022-10-27",4619.44166370832
"142","atat","r100","1205","2023-05-16",3034.30689158199
"143","atat","r100","1205","2023-05-31",18472.1826040366
"144","atat","R100","1205","2023-06-14",5267.96324945509
"145","atat","r100","1205","2023-06-27",-4164.81763205396
"146","atat","r100","1205","2023-07-10",659.270154154307
"147","atat","r100","1205","2023-07-24",6547.50578639596
"148","atat","r100","1205","2023-08-07",6422.85703727115
"149","atat","r100","1205","2023-08-21",4202.8339327763
"150","ATAT","r100","1206","2022-09-27",7126.60103594857
"151","ATAT","r100","1206","2022-10-11",15571.5590555906
"152","ATAT","r100","1206","2022-10-27",4279.00938659209
"153","atat","r100","1206","2023-05-16",684.653065486974
"154","atat","r100","1206","2023-05-31",16258.9720478472
"155","atat","R100","1206","2023-06-14",6008.36106934119
"156","atat","r100","1206","2023-06-27",5600.39802682755
"157","atat","r100","1206","2023-07-10",8152.15107245148
"158","atat","r100","1206","2023-08-07",9120.65279010139
"159","atat","r100","1207","2023-05-16",5007.9870577634
"160","atat","r100","1207","2023-05-31",9170.99662168478
"161","atat","R100","1207","2023-06-14",2974.69566573693
"162","atat","r100","1207","2023-06-27",7239.80017816026
"163","atat","r100","1207","2023-07-10",5790.278688861
"164","atat","r100","1207","2023-07-25",7303.99027354772
"165","atat","r100","1207","2023-08-07",5831.4518557402
"166","atat","r100","1207","2023-08-21",4510.50740605082
"167","ATAT","r100","1208","2022-09-27",4720.9762613226
"168","ATAT","r100","1208","2022-10-11",6713.66108867356
"169","ATAT","r100","1208","2022-10-27",2886.28791544101
"170","atat","r100","1208","2023-05-16",3813.46840473761
"171","atat","r100","1208","2023-05-31",1420.81171315693
"172","atat","R100","1208","2023-06-14",7043.1518554393
"173","atat","r100","1208","2023-06-27",13771.8187156298
"174","atat","r100","1208","2023-07-10",6933.54361407043
"175","atat","r100","1208","2023-07-24",10633.0153382018
"176","atat","r100","1208","2023-08-07",5569.36413188654
"177","atat","r100","1208","2023-08-21",2110.17890341557
"178","ATAT","r100","1209","2022-09-02",9331.976589109
"179","ATAT","r100","1209","2022-09-08",61113.1853013664
"180","ATAT","r100","1209","2022-09-15",10684.3874063231
"181","ATAT","r100","1209","2022-09-27",4974.03034916805
"182","ATAT","r100","1209","2022-10-11",19203.1373332867
"183","ATAT","r100","1209","2022-10-27",13891.8371932787
"184","atat","r100","1209","2023-05-16",-336.309762731906
"185","atat","r100","1209","2023-05-31",10074.8395735796
"186","atat","R100","1209","2023-06-14",6694.6196078974
"187","atat","r100","1209","2023-06-28",1353.80529857856
"188","atat","r100","1209","2023-07-10",4849.17664181222
"189","atat","r100","1209","2023-07-25",7594.75549341244
"190","atat","r100","1209","2023-08-07",2660.19039711281
"191","atat","r100","1209","2023-08-21",41392.4780523116
"192","atat","r100","1210","2023-05-16",4197.73033783133
"193","atat","r100","1210","2023-05-31",10935.3667932989
"194","atat","R100","1210","2023-06-14",7587.35862517977
"195","atat","r100","1210","2023-06-27",13603.0782412631
"196","atat","r100","1210","2023-07-10",12976.2486549877
"197","atat","r100","1210","2023-07-24",4212.36575114173
"198","atat","r100","1210","2023-08-07",2425.23002524932
"199","atat","r100","1210","2023-08-21",3819.0196853326
"200","ATAT","r100","1301","2022-09-02",14533.6582404911
"201","ATAT","r100","1301","2022-09-08",15081.1848503484
"202","ATAT","r100","1301","2022-09-15",6991.43349512867
"203","ATAT","r100","1301","2022-09-27",2991.02991434095
"204","ATAT","r100","1301","2022-10-11",5508.68508018077
"205","ATAT","r100","1301","2022-10-27",706.390966400582
"206","atat","r100","1301","2023-05-17",2609.48623506286
"207","atat","r100","1301","2023-05-31",9643.51841509331
"208","atat","R100","1301","2023-06-14",20205.2903173261
"209","atat","r100","1301","2023-06-28",10222.8486046375
"210","atat","r100","1301","2023-07-10",8576.30237715624
"211","atat","r100","1301","2023-07-25",15612.446787076
"212","atat","r100","1301","2023-08-07",4140.86715259197
"213","atat","r100","1301","2023-08-21",6469.99086478875
"214","atat","r100","1302","2023-05-17",7501.4212658073
"215","atat","r100","1302","2023-05-31",1504.38887275452
"216","atat","R100","1302","2023-06-14",2103.69364518742
